State,Capital city,Second city,Third city,Statehood,Capital since,Size rank
Alabama,Montgomery,Birmingham,Anniston,1819,1846,2
Alaska,Juneau,Anchorage,Fairbanks,1959,1906,3
Arizona,Phoenix,Tucson,Scottsdale,1912,1889,1
Arkansas,Little Rock,Garfield,Guy,1836,1821,1
California,Sacramento,San Francisco,Los Angeles,1850,1854,6
Colorado,Denver,Boulder,Aspen,1876,1867,1
Connecticut,Hartford,Bridgeport,Stamford,1788,1875,3
Delaware,Dover,Wilmington,Newark,1787,1777,2
Florida,Tallahassee,Orlando,Miami,1845,1824,7
Georgia,Atlanta,Athens,Macon,1788,1868,1
Hawaii,Honolulu,Hilo,Lailua-Kona,1959,1845,1
Idaho,Boise,Twin Falls,Pocatello,1890,1865,1
Illinois,Springfield,Chicago,Peoria,1818,1837,6
Indiana,Indianapolis,Fort Wayne,Bloomington,1816,1825,1
Iowa,Des Moines,Iowa City,Cedar Rapids,1846,1857,1
Kansas,Topeka,Kansas City,Wichita,1861,1856,4
Kentucky,Frankfort,Louisville,Lexington,1792,1792,14
Louisiana,Baton Rouge,New Orleans,Lafayette,1812,1880,2
Maine,Augusta,Portland,Bangor,1820,1832,8
Maryland,Annapolis,Baltimore,Ocean City,1788,1694,7
Massachusetts,Boston,Salem,Cambridge,1788,1630,1
Michigan,Lansing,Ann Arbor,Detroit,1837,1847,5
Minnesota,Saint Paul,Minneapolis,Duluth,1858,1849,2
Mississippi,Jackson,Biloxi,Laurel,1817,1821,1
Missouri,Jefferson City,St. Louis,Springfield,1821,1826,15
Montana,Helena,Missoula,Bozeman,1889,1875,6
Nebraska,Lincoln,Omaha,Nebraska City,1867,1867,2
Nevada,Carson City,Reno,Las Vegas,1864,1861,6
New Hampshire,Concord,Manchester,Portsmouth,1788,1808,3
New Jersey,Trenton,Jersey City,Newark,1787,1784,10
New Mexico,Santa Fe,Albuquerque,Roswell,1912,1610,4
New York,Albany,New York,Syracuse,1788,1797,6
North Carolina,Raleigh,Charlotte,Greensboro,1789,1792,2
North Dakota,Bismarck,Minot,Fargo,1889,1883,2
Ohio,Columbus,Cleveland,Cincinnati,1803,1816,1
Oklahoma,Oklahoma City,Tulsa,Edmond,1907,1910,1
Oregon,Salem,Portland,Salem,1859,1855,3
Pennsylvania,Harrisburg,Philadelphia,Pitsburgh,1787,1812,9
Rhode Island,Providence,Newport,Warwick,1790,1900,1
South Carolina,Columbia,Charleston,Greenville,1788,1786,2
South Dakota,Pierre,Sioux Falls,Rapid City,1889,1889,8
Tennessee,Nashville,Memphis,Knoxville,1796,1826,1
Texas,Austin,Dallas,Houston,1845,1839,4
Utah,Salt Lake City,Provo,Ogden,1896,1858,1
Vermont,Montpelier,Burlington,Woodstock,1791,1805,6
Virginia,Richmond,Norfolk,Roanoke,1788,1780,4
Washington,Olympia,Seattle,Spokane,1889,1853,24
West Virginia,Charleston,Morgantown,Wheeling,1863,1885,1
Wisconsin,Madison,Green Bay,Milwaukee,1848,1838,2
Wyoming,Cheyenne,Jackson,Casper,1890,1869,1
